Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DC_Automation,Chrome 67.0.3396.99,,2018-07-23 15:13:28,2018-07-23 15:17:49,4m - 21.613s,PASSED
,,,,,,
Test Cases/recorded_test,Chrome 67.0.3396.99,,2018-07-23 15:13:28,2018-07-23 15:13:41,12.487s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 15:13:29,2018-07-23 15:13:36,7.145s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-23 15:13:36,2018-07-23 15:13:38,2.101s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:38,2018-07-23 15:13:38,0.283s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:38,2018-07-23 15:13:39,0.387s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:39,2018-07-23 15:13:39,0.230s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:39,2018-07-23 15:13:39,0.140s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:39,2018-07-23 15:13:39,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:39,2018-07-23 15:13:40,0.125s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:40,2018-07-23 15:13:40,0.117s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:40,2018-07-23 15:13:40,0.102s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:40,2018-07-23 15:13:40,0.103s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 15:13:40,2018-07-23 15:13:40,0.086s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 15:13:40,2018-07-23 15:13:41,1.008s,PASSED
,,,,,,
Test Cases/controlled_monkey,Chrome 67.0.3396.99,,2018-07-23 15:13:41,2018-07-23 15:17:33,3m - 52.465s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 15:13:41,2018-07-23 15:13:48,6.300s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-23 15:13:48,2018-07-23 15:13:50,2.025s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-07-23 15:13:50,2018-07-23 15:13:50,0.014s,PASSED
"Statement - elements = driver.findElements(org.openqa.selenium.By.xpath(""//*""))",Chrome 67.0.3396.99,,2018-07-23 15:13:50,2018-07-23 15:13:50,0.074s,PASSED
Statement - obj = new com.kms.katalon.core.testobject.TestObject(),Chrome 67.0.3396.99,,2018-07-23 15:13:50,2018-07-23 15:13:50,0.005s,PASSED
Statement - count = 0,Chrome 67.0.3396.99,,2018-07-23 15:13:50,2018-07-23 15:13:50,0.000s,PASSED
Statement - filteredElements = elements.stream().filter({ java.lang.Object e -> ... }).collect(),Chrome 67.0.3396.99,,2018-07-23 15:13:50,2018-07-23 15:13:51,1.412s,PASSED
Statement - 100.times({ -> ... }),Chrome 67.0.3396.99,,2018-07-23 15:13:51,2018-07-23 15:17:33,3m - 41.528s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 15:17:33,2018-07-23 15:17:33,0.834s,PASSED
,,,,,,
Test Cases/monkey_click,Chrome 67.0.3396.99,,2018-07-23 15:17:33,2018-07-23 15:17:49,15.735s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 15:17:34,2018-07-23 15:17:38,4.528s,PASSED
executeJavaScript,Chrome 67.0.3396.99,,2018-07-23 15:17:38,2018-07-23 15:17:38,0.033s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-23 15:17:38,2018-07-23 15:17:48,10.001s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 15:17:48,2018-07-23 15:17:49,1.007s,PASSED
